x_,y_,t_,dt,id,sim
412.30740623853745,7372.743553217858,2022-03-21T15:53:00Z,1H 0M 0S,5605,1
412.40870142771234,7372.739824171906,2022-03-21T16:53:00Z,1H 0M 0S,5605,1
412.55991844633667,7372.849300882039,2022-03-21T17:53:00Z,1H 0M 0S,5605,1
412.588959936379,7372.885961864963,2022-03-21T18:53:00Z,1H 0M 0S,5605,1
412.6137330531304,7372.929981382617,2022-03-21T19:53:00Z,1H 0M 0S,5605,1
412.46048298519867,7373.866542213417,2022-03-21T20:53:00Z,1H 0M 0S,5605,1
412.1603729072097,7374.101476663827,2022-03-21T21:53:00Z,1H 0M 0S,5605,1
412.21142767691873,7373.860680198153,2022-03-21T22:53:00Z,1H 0M 0S,5605,1
412.1934665056445,7373.584522048681,2022-03-21T23:53:00Z,1H 0M 0S,5605,1
412.32010072107505,7373.488204013804,2022-03-22T00:53:00Z,1H 0M 0S,5605,1
412.3801830423831,7373.434499181248,2022-03-22T01:53:00Z,1H 0M 0S,5605,1
412.554780115951,7373.286118725613,2022-03-22T02:53:00Z,1H 0M 0S,5605,1
412.67170096291864,7373.224099723437,2022-03-22T03:53:00Z,1H 0M 0S,5605,1
412.99277433592715,7373.402878141901,2022-03-22T04:53:00Z,1H 0M 0S,5605,1
413.2229358234973,7374.811513850912,2022-03-22T05:53:00Z,1H 0M 0S,5605,1
412.66836927856747,7375.792708264805,2022-03-22T06:53:00Z,1H 0M 0S,5605,1
412.58271192868,7375.948445566562,2022-03-22T07:53:00Z,1H 0M 0S,5605,1
412.7423157017734,7376.039185146656,2022-03-22T08:53:00Z,1H 0M 0S,5605,1
413.2859285386371,7376.093501169116,2022-03-22T09:53:00Z,1H 0M 0S,5605,1
414.33406726937034,7375.580353320539,2022-03-22T10:53:00Z,1H 0M 0S,5605,1
414.405523248864,7375.410696699787,2022-03-22T11:53:00Z,1H 0M 0S,5605,1
414.0978125316009,7375.829990714626,2022-03-22T12:53:00Z,1H 0M 0S,5605,1
413.86586488512125,7376.069079427766,2022-03-22T13:53:00Z,1H 0M 0S,5605,1
413.787076576648,7376.244067236147,2022-03-22T14:53:00Z,1H 0M 0S,5605,1
413.77571799119136,7376.280355471523,2022-03-22T15:53:00Z,1H 0M 0S,5605,1
412.86812355463724,7377.8182191820615,2022-03-22T16:53:00Z,1H 0M 0S,5605,1
412.62727879561646,7378.091568558563,2022-03-22T17:53:00Z,1H 0M 0S,5605,1
412.41952943222054,7378.035213348341,2022-03-22T18:53:00Z,1H 0M 0S,5605,1
412.4125531626753,7378.03797245205,2022-03-22T19:53:00Z,1H 0M 0S,5605,1
411.5705151707973,7379.431766458201,2022-03-22T20:53:00Z,1H 0M 0S,5605,1
409.9841594879798,7381.513265245539,2022-03-22T21:53:00Z,1H 0M 0S,5605,1
409.88732500567437,7382.125984676424,2022-03-22T22:53:00Z,1H 0M 0S,5605,1
