id,id_orig,date,lon,lat,x,y,x.se,y.se,gap_flag,logit_g,logit_g.se,g
6471_1,6471,2024-05-21T18:12:00Z,33.2900771552366,-23.182613743978948,529.687497596534,7436.235129897762,0.310533896957602,0.29003606733595155,0,1.2164957394477367,0.6477240042559906,0.8020128655462886
6471_1,6471,2024-05-21T19:12:00Z,33.2879080013124,-23.19313660775242,529.4631927179669,7435.070654793932,0.3079762313419264,0.2876471084985766,0,1.2130293095369993,0.6405518963939958,0.8013084007882182
6471_1,6471,2024-05-21T20:12:00Z,33.294269818844015,-23.20418569189818,530.1117613601747,7433.8461797463715,0.3079761447125776,0.28764724603738795,0,1.1852669805213984,0.646581106544012,0.7956186871452172
6471_1,6471,2024-05-21T21:12:00Z,33.304361182136645,-23.207068590722983,531.1437193637624,7433.524906747752,0.31666244295927926,0.2957622452101961,0,1.1322852954670544,0.6632249122792802,0.7845259001573058
6471_1,6471,2024-05-21T22:12:00Z,33.30785741527047,-23.212719094771142,531.5001487427398,7432.898621502593,0.30526703992471915,0.28511660320781246,0,1.1289744272261928,0.6746065503023061,0.7838225330649505
6471_1,6471,2024-05-21T23:12:00Z,33.29893726084135,-23.22173227430666,530.5853752596239,7431.902733222411,0.3166624200242138,0.2957625679229033,0,1.160684503916125,0.6748472747512668,0.7905100161032799
6471_1,6471,2024-05-22T00:12:00Z,33.28581907982576,-23.218163122893532,529.2439749197582,7432.300552224376,0.3218379532281817,0.30059797487279427,0,1.2011475363449708,0.6638350559702612,0.7988836854343634
6471_1,6471,2024-05-22T01:12:00Z,33.27901827833337,-23.212630272206134,528.5493134216765,7432.914411131883,0.31060524279072865,0.2901046261454367,0,1.3127739936573597,0.6352343809590785,0.8210484254692729
6471_1,6471,2024-05-22T02:12:00Z,33.27575908669294,-23.208602179754717,528.2166750754138,7433.360971639598,0.32183819992733026,0.3005981057355687,0,1.4616034939369065,0.5960852571347558,0.8484557415101572
6471_1,6471,2024-05-22T03:12:00Z,33.25875893980574,-23.19659975685636,526.4795137856892,7434.6928775163415,0.3184781356339855,0.29745993590392567,0,1.6288363605518323,0.5353387594722103,0.8763599874865253
6471_1,6471,2024-05-22T04:12:00Z,33.24164687189525,-23.175023438780418,524.7323475998779,7437.084452705567,0.3260242704176611,0.3045094323547893,0,1.7162533707468346,0.4742141429435003,0.889758529773934
6471_1,6471,2024-05-22T05:12:00Z,33.23093972425538,-23.15213795578119,523.6404929463114,7439.619714436063,0.3222171285561339,0.30095331173729944,0,1.6227353579206603,0.45287357569429465,0.8753948392731655
6471_1,6471,2024-05-22T06:12:00Z,33.220951245528894,-23.12589584410787,522.6224059979212,7442.526360101175,0.3222171556754799,0.30095358011473144,0,1.4675191491255477,0.4495794027766774,0.849494665539505
6471_1,6471,2024-05-22T07:12:00Z,33.21534608361779,-23.111567729517574,522.0508523938239,7444.113368058646,0.32221716509521336,0.30095357063877254,0,1.084067624649068,0.5168423935148317,0.7741651154128729
6471_1,6471,2024-05-22T08:12:00Z,33.214382790381435,-23.10886147660339,521.9526534491893,7444.413100307969,0.329191244321175,0.3074685344148495,0,0.9343423146490799,0.6034524827704233,0.7404166484388878
6471_1,6471,2024-05-22T09:12:00Z,33.21437153449531,-23.107656516825745,521.9516967256241,7444.5464931765155,0.32490849780899417,0.3034679641590058,0,0.9844275554655872,0.657898745388655,0.75196697989571
6471_1,6471,2024-05-22T10:12:00Z,33.21709657253489,-23.106934369400218,522.2308610794623,7444.626023819988,0.32490850348734246,0.30346796836325546,0,1.0386715918039098,0.6958473808720682,0.7641821011978662
6471_1,6471,2024-05-22T11:12:00Z,33.22298002482843,-23.107464732515087,522.8332436756085,7444.566403646376,0.33131581436126917,0.3094535929849608,0,1.0932688558134005,0.7197866714866049,0.7761616310917877
