ID,step,angle,TimeNum,locType,date,lat,lon,temp,dt,burst_id,nu.x,nu.y,se.mu.x,se.nu.x,se.mu.y,se.nu.y,speed,x,y,disp,state_vit,Encamped,Exploratory,Transit,state_fb
6471,58.98966596274393,-1.06386712272767,NA,p,2024-01-13T06:12:00Z,NA,NA,NA,NA,NA,263.6388305410582,84.93208575033141,52.661181148926005,413.59194866438105,52.661181148926005,413.59194866438105,276.98175419864475,487819.85536699905,7413317.23017523,5554.859367002371,Encamped,0.9415005323033664,0.05849576906230282,3.6986343308573357e-6,Encamped
6471,813.9434602497441,1.26736710688264,NA,p,2024-01-13T07:12:00Z,NA,NA,NA,NA,NA,168.4321637997612,160.02377356230272,58.589248160392025,411.285424006249,58.589248160392025,411.285424006249,232.32951148614058,487872.0908300298,7413289.8214705475,5610.208680211785,Exploratory,0.32394138957844,0.6713238848179747,0.004734725603585389,Exploratory
6471,480.98534136907745,-0.119376520881288,NA,p,2024-01-13T08:12:00Z,NA,NA,NA,NA,NA,677.974538475855,643.4219524107776,58.36437269430727,408.7237453341805,58.36437269430727,408.7237453341805,934.6878001052788,488448.35717574396,7413864.644099956,5630.246913228517,Exploratory,0.3903943822583962,0.6078812908944756,0.0017243268471282029,Exploratory
6471,104.50702015090086,0.312415356225888,NA,p,2024-01-13T09:12:00Z,NA,NA,NA,NA,NA,153.9538011844598,94.4944639527057,64.08353922810443,406.16597592609844,64.08353922810443,406.16597592609844,180.64046229140737,488826.921631348,7414161.3524610875,5752.728150197614,Encamped,0.9104100436263357,0.08957889073998601,1.1065633678312209e-5,Encamped
6471,24.580319969677955,0.421644103102599,NA,p,2024-01-13T10:12:00Z,NA,NA,NA,NA,NA,-4.72018349735113,41.91778689756073,63.538964423415024,402.73800416648044,63.538964423415024,402.73800416648044,42.18270961706917,488885.3786808252,7414247.980924235,5752.1853323181595,Encamped,0.9904220974125815,0.009577424336447937,4.782509705396683e-7,Encamped
6471,474.739696489831,-0.227884369563237,NA,p,2024-01-13T11:12:00Z,NA,NA,NA,NA,NA,78.79266265942832,176.56013656356242,58.077534382926416,405.6901527027739,58.077534382926416,405.6901527027739,193.34364616481784,488889.58494068554,7414272.198676149,5742.256827560062,Encamped,0.9183845751205372,0.0816113825225056,4.042356957267481e-6,Encamped
6471,129.48487614877098,0.0917117471933382,NA,p,2024-01-13T12:12:00Z,NA,NA,NA,NA,NA,182.36104585610016,449.3821242747899,69.68859304075524,403.7391484609834,69.68859304075524,403.7391484609834,484.9740659699788,489074.3933614225,7414709.489914397,5673.698593549237,Encamped,0.9719402600105896,0.028058482125835848,1.2578635744339272e-6,Encamped
6471,164.35990297122217,3.01774418490553,NA,p,2024-01-13T13:12:00Z,NA,NA,NA,NA,NA,-58.41007367879098,-125.85110268113365,63.39242856997987,400.20757114277586,63.39242856997987,400.20757114277586,138.74522245187052,489113.66466591565,7414832.875885215,5649.992954865412,Encamped,0.9575886113013715,0.042409632523115796,1.7561755126098674e-6,Encamped
6471,393.8477158699946,-2.95619684630668,NA,p,2024-01-13T14:12:00Z,NA,NA,NA,NA,NA,-53.473856654913625,2.78933710063599,69.3491167932224,400.68541276168264,69.3491167932224,400.68541276168264,53.5465568175138,489044.85057648923,7414683.615043729,5660.426480967819,Encamped,0.671281410426334,0.32864596877786956,7.262079579643272e-5,Encamped
6471,1098.946832933505,-0.595139174238707,NA,p,2024-01-13T15:12:00Z,NA,NA,NA,NA,NA,420.09908323716655,682.5525398609992,68.90573270780887,397.6186615338873,68.90573270780887,397.6186615338873,801.4743972251445,489140.9900322682,7415065.548582893,5570.870226780471,Exploratory,0.015467468226985274,0.9756191581238509,0.008913373649163827,Exploratory
6471,336.2937920574534,-0.127360336097498,NA,p,2024-01-13T16:12:00Z,NA,NA,NA,NA,NA,827.2460520264849,535.3732699232642,69.0246332840675,397.71773910651757,69.0246332840675,397.71773910651757,985.3733144051213,489960.5838262998,7415797.634748859,6083.65050550709,Exploratory,0.05160327976042526,0.9444079198247841,0.003988800414790609,Exploratory
6471,974.1428946852111,1.26438589726071,NA,p,2024-01-13T17:12:00Z,NA,NA,NA,NA,NA,-156.20371917883938,267.2556859301216,74.43184802220082,395.3872785004596,74.43184802220082,395.3872785004596,309.55646261592005,490237.81546529976,7415987.99265627,6304.189838939294,Exploratory,0.005259085483074493,0.9596835643320966,0.03505735018482898,Exploratory
6471,1343.4252784092514,-0.40699908648962,NA,p,2024-01-13T18:12:00Z,NA,NA,NA,NA,NA,-192.12409849559495,1385.317387065474,73.88707600115193,391.999617346752,73.88707600115193,391.999617346752,1398.576394813189,489954.3214719748,7416919.97202032,5873.241064598141,Exploratory,4.064675775499559e-4,0.896966166571584,0.10262736585086599,Exploratory
6471,539.4937202066992,-0.330069807733866,NA,p,2024-01-13T19:12:00Z,NA,NA,NA,NA,NA,327.98854515924745,1019.5358778620564,73.862710483707545,391.8181976376289,73.862710483707545,391.8181976376289,1070.994814181485,490104.0801352754,7418255.024012354,6053.486804216164,Exploratory,0.012848355438643821,0.974219210557321,0.012932434004035214,Exploratory
6471,656.8680769378534,0.285483896539672,NA,p,2024-01-13T20:12:00Z,NA,NA,NA,NA,NA,134.09977339994197,331.4027765050387,74.01283672444936,392.0343097230139,74.01283672444936,392.0343097230139,357.50601323776976,490334.7389199562,7418742.72268899,6363.295870990065,Exploratory,0.022788919968342532,0.972194568857506,0.005016511174151479,Exploratory
6471,438.7585864311522,-0.553585195993893,NA,p,2024-01-13T21:12:00Z,NA,NA,NA,NA,NA,154.48062466280274,689.5204224619063,79.26159221211746,389.7994356075955,79.26159221211746,389.7994356075955,706.6135268930644,490436.985560579,7419391.584226593,6624.088480128906,Exploratory,0.10554859459097993,0.8934120568905072,0.0010393485185128527,Exploratory
6471,410.15352389241576,0.387673798575871,NA,p,2024-01-13T22:12:00Z,NA,NA,NA,NA,NA,298.99704468932396,194.70326581754645,78.80101522188657,386.47302622563456,78.80101522188657,386.47302622563456,356.8032993863254,490722.9428056495,7419724.356748234,6999.055893723019,Exploratory,0.29970371368710397,0.6998706115921236,4.2567472077242305e-4,Exploratory
6471,230.3608299254519,0.342384119534608,NA,p,2024-01-13T23:12:00Z,NA,NA,NA,NA,NA,18.92493361204717,434.62603155260683,83.83137837349449,384.1326593769397,83.83137837349449,384.1326593769397,435.037860898782,490852.82144879113,7420113.403597876,7255.767508299778,Encamped,0.5748198230169435,0.42490287055398834,2.773064290681759e-4,Encamped
6471,305.04605028256424,0.838433620281877,NA,p,2024-01-14T00:12:00Z,NA,NA,NA,NA,NA,-76.6424114559641,121.93456884144496,83.14806071099915,380.51202346312266,83.14806071099915,380.51202346312266,144.02117313900195,490848.17322428647,7420343.717527053,7339.259988038781,Encamped,0.6747333055837238,0.3251158022249784,1.508921912978458e-4,Encamped
6471,390.2263274779646,0.0323356582792336,NA,p,2024-01-14T01:12:00Z,NA,NA,NA,NA,NA,-333.5851839885976,255.67471822911972,83.2544293115988,380.4431626406236,83.2544293115988,380.4431626406236,420.2958916266566,490617.27261042554,7420543.061449237,7211.004335937441,Encamped,0.7435912981012225,0.25629219256485847,1.1650933391895361e-4,Encamped
6471,177.53582141124735,-0.783422938659416,NA,p,2024-01-14T02:12:00Z,NA,NA,NA,NA,NA,-194.25993597774308,217.93066755270127,87.99204509499708,378.31587331223625,87.99204509499708,378.31587331223625,291.9429714619669,490313.80588833016,7420788.386815308,7051.050474142735,Encamped,0.8935216458129878,0.10641845068763872,5.9903499373456126e-5,Encamped
6471,226.38719622878975,0.853725913572956,NA,p,2024-01-14T03:12:00Z,NA,NA,NA,NA,NA,2.906396945764868,157.72857412040054,82.55119623603282,376.7378398833863,82.55119623603282,376.7378398833863,157.75534931425,490294.752984189,7420964.897309976,7119.819380666355,Encamped,0.9613066370142074,0.03863096779054362,6.239519524897313e-5,Encamped
6471,203.9557837129116,2.3498701707143,NA,p,2024-01-14T04:12:00Z,NA,NA,NA,NA,NA,-211.7092560585072,-1.0383332899703817,88.12320920166265,378.2336579417543,88.12320920166265,378.2336579417543,211.7118023088643,490109.1361374019,7421094.5026679095,7025.456427861122,Encamped,0.941033361844788,0.058918600032055686,4.8038123156250135e-5,Encamped
6471,475.99572069632103,2.87225155856267,NA,p,2024-01-14T05:12:00Z,NA,NA,NA,NA,NA,167.74183231478474,-122.38970486167838,87.5591228827699,374.82769374740707,87.5591228827699,374.82769374740707,207.64527965848418,490143.54720514687,7420893.4707298335,6953.079962389954,Encamped,0.6091654471426319,0.386456150390988,0.004378402466380117,Encamped
6471,1317.691422652982,0.222003071348879,NA,p,2024-01-14T06:12:00Z,NA,NA,NA,NA,NA,-96.18861768137393,1008.7635259172785,92.24369897179969,372.7964592106529,92.24369897179969,372.7964592106529,1013.3390851005962,490190.978414369,7421367.097382919,7239.438656826065,Exploratory,0.005023343579342855,0.8120131126286818,0.18296354379197535,Exploratory
6471,1161.116908067801,-0.501001419023318,NA,p,2024-01-14T07:12:00Z,NA,NA,NA,NA,NA,-10.836095191849225,1395.1763614374008,91.39037148409017,368.9985094820845,91.39037148409017,368.9985094820845,1395.2184418479824,490030.3685734059,7422674.964029148,7902.203954458898,Exploratory,0.0067193745194041345,0.8674514848903514,0.12582914059024441,Exploratory
6471,257.55879221646165,-0.315486396532635,NA,p,2024-01-14T08:12:00Z,NA,NA,NA,NA,NA,578.0856326066963,674.5452021531567,91.34932949945501,368.79967462024695,91.34932949945501,368.79967462024695,888.3660441361586,490459.7674435933,7423753.763864374,8953.315994697688,Encamped,0.5777569095842985,0.4213605832606134,8.825071550880746e-4,Encamped
6471,171.97528735057517,2.84536684954737,NA,p,2024-01-14T09:12:00Z,NA,NA,NA,NA,NA,-136.8175091847088,-122.66213283663893,91.50737675182259,368.8663714680426,91.50737675182259,368.8663714680426,183.7526316860282,490624.5651737478,7423951.698802128,9209.748038470458,Encamped,0.8473740939479297,0.15258166795292905,4.42380991412433e-5,Encamped
