id,id_orig,date,lon,lat,x,y,x.se,y.se,logit_g,logit_g.se,g
6471_1,6471,2023-08-05T05:12:00Z,32.960022660629946,-23.22051194081289,495.90974623675004,7432.068725073734,0.11461640293018649,0.12092809352462641,2.0207155287584615,1.9765898216635054,0.8829549760566492
6471_1,6471,2023-08-05T06:12:00Z,32.963582163946164,-23.220765191768994,496.273941412451,7432.0407852053995,0.11366394049223978,0.12016037523894889,2.063233045070923,1.9056702412737343,0.8872779306260641
6471_1,6471,2023-08-05T07:12:00Z,32.96796410928914,-23.221753869427797,496.7223004261794,7431.931441390207,0.11481362688041814,0.12117597939401874,2.0769307523060334,1.871203513177101,0.8886406674539772
6471_1,6471,2023-08-05T08:12:00Z,32.969368927882755,-23.22633596414839,496.8661390793694,7431.4242213727875,0.11531030488337346,0.12149931368377005,2.080986594530728,1.8564973778922267,0.8890413950370725
6471_1,6471,2023-08-05T09:12:00Z,32.97245563843619,-23.22910682151551,497.18199820147424,7431.117542614599,0.1141913470359246,0.12061873571069959,2.0696238277925563,1.8794808915954277,0.8879155296675264
6471_1,6471,2023-08-05T10:12:00Z,32.97537578437566,-23.229578630812945,497.4807606442808,7431.065365584016,0.11543618585312214,0.12160828316640046,2.073155820451569,1.8935923763440952,0.8882665577090906
6471_1,6471,2023-08-05T11:12:00Z,32.97422391590621,-23.23308616132174,497.36298487978115,7430.67705111862,0.11507563436282907,0.12123628017662767,2.1036830254979635,1.860284717527978,0.8912606343453497
6471_1,6471,2023-08-05T12:12:00Z,32.97352255394643,-23.236638332084997,497.29130392530095,7430.283802202949,0.1161719794014126,0.12204525849229764,2.111499466804018,1.8534969983263532,0.8920158521594153
6471_1,6471,2023-08-05T13:12:00Z,32.97646517465902,-23.238698794785833,497.5923769317774,7430.055754529217,0.11591541168870305,0.12175980163146385,2.1286089357537037,1.8363382179109233,0.893652877554587
6471_1,6471,2023-08-05T14:12:00Z,32.97737549006534,-23.235580700704027,497.6854488282682,7430.400951835411,0.11577315935426298,0.12181986737464882,2.1794482793997862,1.7642991080646615,0.8983887185679565
6471_1,6471,2023-08-05T15:12:00Z,32.97940387403176,-23.231539667943025,497.89289479836725,7430.848337130751,0.11687884260723523,0.12261331991472545,2.214747682994557,1.6981256701315508,0.9015660625249887
6471_1,6471,2023-08-05T16:12:00Z,32.982123647874985,-23.226178037018816,498.171070676716,7431.441922204204,0.11659195939965038,0.12235264432748315,2.205663303420099,1.6905218761380767,0.9007569258596997
6471_1,6471,2023-08-05T17:12:00Z,32.983792445226634,-23.22169019498863,498.34174989512593,7431.938759155654,0.1167139700877093,0.12244886439773467,2.160099149833066,1.7525953319301908,0.8966087402421546
6471_1,6471,2023-08-05T18:12:00Z,32.98245516117512,-23.216902494139635,498.204863822295,7432.468755107518,0.11800891445366168,0.12352839596890562,2.115820851361682,1.8298987373512532,0.892431398750613
6471_1,6471,2023-08-05T19:12:00Z,32.98020456718952,-23.213223371117927,497.9745342074258,7432.876014495157,0.117780816409394,0.12324761453110941,2.0512051967298928,1.958122197385544,0.8860693405108243
6471_1,6471,2023-08-05T20:12:00Z,32.97920742287369,-23.212040355687297,497.87248781145894,7433.0069632508585,0.11781107527921617,0.1232730523227604,2.0076227954936807,2.0797038468388,0.8815951022876432
6471_1,6471,2023-08-05T21:12:00Z,32.978411065106016,-23.21243773355097,497.7910104139427,7432.962960573445,0.11786623749549749,0.12347927786572765,1.9878281658617212,2.1601637493506836,0.87951317844904775
6471_1,6471,2023-08-05T22:12:00Z,32.97838608501699,-23.211427329376466,497.78843780927195,7433.074814652002,0.11928167386906559,0.12454125386840445,1.9714691158121453,2.222799140948424,0.8777688231631773
6471_1,6471,2023-08-05T23:12:00Z,32.97905903617768,-23.21187142953613,497.85730207838816,7433.025661650516,0.11901059015787364,0.12411529421858761,1.959093131972166,2.2670497726237704,0.876434774996985
6471_1,6471,2023-08-06T00:12:00Z,32.97733199970407,-23.212459096755058,497.6806003186796,7432.960578802123,0.11902451933574923,0.12418907440962099,1.951844428798871,2.2921455878872803,0.8756476187648308
6471_1,6471,2023-08-06T01:12:00Z,32.976771212059525,-23.212616008979392,497.62322305573895,7432.943199137374,0.12045034126168974,0.12544862210768357,1.9449665255256956,2.3108026995526068,0.874896754649831
6471_1,6471,2023-08-06T02:12:00Z,32.97678997497587,-23.213139667998924,497.62515213928185,7432.885228975417,0.1215643956119159,0.12625336206649676,1.944347702034255,2.310726814417551,0.8748290072041638
6471_1,6471,2023-08-06T03:12:00Z,32.976732707837584,-23.213215515923928,497.6192939141281,7432.876831468086,0.11966139292876589,0.12459590414322526,1.9437602326950612,2.3017408649107356,0.8747646632558754
6471_1,6471,2023-08-06T04:12:00Z,32.976333128472746,-23.213551262017578,497.5784150591057,7432.839656865393,0.12163420109929608,0.12631786081445812,1.9437448031734126,2.2817040114945537,0.8747629729196753
6471_1,6471,2023-08-06T05:12:00Z,32.977099266814086,-23.21452041732025,497.656822937144,7432.73238129521,0.12121227223919773,0.1258789620157596,1.943494720330777,2.253148996609628,0.8747355730976902
6471_1,6471,2023-08-06T06:12:00Z,32.97675860826869,-23.217159625151417,497.62201385752235,7432.440208213663,0.12122207686657635,0.12594471309763458,1.93738391594442,2.226738452778068,0.8740644576765798
6471_1,6471,2023-08-06T07:12:00Z,32.97667166222761,-23.219198074336592,497.6131540336335,7432.214544802705,0.12287419221222835,0.1274379618056147,1.9188804823694166,2.226501414556195,0.8720135409076284
6471_1,6471,2023-08-06T08:12:00Z,32.97707176813759,-23.218337409829665,497.65407596132536,7432.309829275603,0.12242052314123653,0.12706206677073323,1.9177661076052757,2.202500424469518,0.8718891185128713
6471_1,6471,2023-08-06T09:12:00Z,32.97495164771339,-23.21901452827048,497.4371667164423,7432.234834573949,0.12248423757608931,0.12686752385977498,1.9277924459204676,2.1513626038989213,0.873004875642929
6471_1,6471,2023-08-06T10:12:00Z,32.973005782273184,-23.218570028957284,497.2380654803576,7432.284006239677,0.12570451396955093,0.12959910613471637,1.9356927213050472,2.098963904829144,0.8738781803073672
6471_1,6471,2023-08-06T11:12:00Z,32.9700997100528,-23.216626113042377,496.94068413593857,7432.4991449213585,0.12141903067580913,0.12585811812351302,1.9407181825312076,2.0505174282274266,0.8744310221468262
6471_1,6471,2023-08-06T12:12:00Z,32.96874108511798,-23.216110640568463,496.8016610676618,7432.556179898034,0.12401113780197526,0.1281708014507432,1.9373536402164684,2.0222996358738228,0.8740611250144227
6471_1,6471,2023-08-06T13:12:00Z,32.969642194209456,-23.21640230956771,496.8938671886915,7432.523910879421,0.12345972358465394,0.12763291908170832,1.9557702394841374,1.9585064699283015,0.8760744658118039
6471_1,6471,2023-08-06T14:12:00Z,32.9704550733421,-23.216488889335203,496.97704084975317,7432.514343399751,0.1251597071561491,0.12900751071627045,1.9739400672731058,1.8826569803393702,0.878033685944724
6471_1,6471,2023-08-06T15:12:00Z,32.96931973198898,-23.21545176120382,496.860851467573,7432.629132269489,0.12455645342623803,0.12847054890576487,1.9953238389715806,1.7902600767779937,0.8803052361546018
6471_1,6471,2023-08-06T16:12:00Z,32.970620333365424,-23.21259159709958,496.993862617821,7432.945787715873,0.12627650814780683,0.12989141706981155,2.013318632764129,1.6878495697237108,0.882188372196248
6471_1,6471,2023-08-06T17:12:00Z,32.97428587153052,-23.20745642253164,497.36882118813793,7433.514336292109,0.12420993598851855,0.12808390712830278,1.9909613171293803,1.6322366462067588,0.8798448031004569
6471_1,6471,2023-08-06T18:12:00Z,32.97332200557353,-23.203035872790007,497.27010454373874,7434.003684859619,0.12647829257135423,0.13027066259105066,1.9299528524718854,1.658064192629961,0.8732442012679775
6471_1,6471,2023-08-06T19:12:00Z,32.969299653537306,-23.201053308910748,496.8584605094124,7434.22307854634,0.12610474724341703,0.12969827888087748,1.9022120223811658,1.6682879243961923,0.8701416781247451
6471_1,6471,2023-08-06T20:12:00Z,32.96826993389237,-23.197782882092945,496.75301121240744,7434.585100415989,0.12598657175876513,0.12980438725975513,1.8794785465353938,1.6858208934136591,0.8675512197566664
6471_1,6471,2023-08-06T21:12:00Z,32.968824689447096,-23.196481387173037,496.80974936661016,7434.7291914146535,0.1277517942394539,0.1311341519442081,1.8703549358341287,1.6921616918880749,0.8664993411581712
6471_1,6471,2023-08-06T22:12:00Z,32.96796636025086,-23.19444110805453,496.7218645633608,7434.955036254805,0.12708355003215593,0.13050545255748447,1.8826528699428409,1.6609551250122119,0.8679155435101936
6471_1,6471,2023-08-06T23:12:00Z,32.967634061674204,-23.191602847481334,496.68778916594044,7435.269231067795,0.12710710250032764,0.13057268405784922,1.8789887386399782,1.6370511876948297,0.8674949277081326
